year,date,price
2024,12/31,49200
2025,01/02,49200
2025,01/03,49200
2025,01/06,49200
2025,01/07,51200
2025,01/08,51200
2025,01/09,51200
2025,01/10,51200
2025,01/13,51200
2025,01/14,51200
2025,01/15,51200
2025,01/16,51200
2025,01/17,51200
2025,01/20,51200
2025,01/21,51200
2025,01/22,51200
2025,01/23,51200
2025,01/24,51200
2025,01/31,51200
2025,02/03,51200
2025,02/04,51200
2025,02/05,51200
2025,02/06,51200
2025,02/07,51200
2025,02/10,50800
2025,02/11,50800
2025,02/12,50800
2025,02/13,50800
2025,02/14,50800
2025,02/17,50400
2025,02/18,50400
2025,02/19,50400
2025,02/20,50400
2025,02/21,50400
2025,02/24,50200
2025,02/25,50200
2025,02/26,50200
2025,02/27,50200
2025,02/28,50200
2025,03/04,50200
2025,03/05,50200
2025,03/06,50200
2025,03/07,50200
2025,03/10,50200
2025,03/11,50200
2025,03/12,50200
2025,03/13,50200
2025,03/14,50200
2025,03/17,50200
2025,03/18,50200
2025,03/19,50200
2025,03/20,50200
2025,03/21,50200
2025,03/24,50200
2025,03/25,50200
2025,03/26,50200
2025,03/27,50200
2025,03/28,50200
2025,03/31,50200
2025,04/01,50800
2025,04/02,50800
2025,04/03,50800
2025,04/04,50800
2025,04/07,50800
2025,04/08,50800
2025,04/09,50800
2025,04/10,50800
2025,04/11,50800
2025,04/14,50800
2025,04/15,50800
2025,04/16,50800
2025,04/17,50800
2025,04/18,50800
2025,04/21,50800
2025,04/22,50800
2025,04/23,50800
2025,04/24,50800
2025,04/25,50800
2025,04/28,50800
2025,04/29,50800
2025,04/30,50800
2025,05/02,50800
2025,05/07,53600
2025,05/08,53600
2025,05/09,53600
2025,05/12,53600
2025,05/13,53600
2025,05/14,53600
2025,05/15,53600
2025,05/16,53600
2025,05/19,53600
2025,05/20,53600
2025,05/21,53600
2025,05/22,53600
2025,05/23,53600
2025,05/26,53600
2025,05/27,53600
2025,05/28,53600
2025,05/29,53600
2025,05/30,53600
2025,06/02,53600
2025,06/04,53600
2025,06/05,53600
2025,06/09,53600
2025,06/10,53600
2025,06/11,53600
2025,06/12,53600
2025,06/13,53600
2025,06/16,53600
2025,06/17,53600
2025,06/18,53600
2025,06/19,53600
2025,06/20,53600
2025,06/23,53600
2025,06/24,53600
2025,06/25,53600
2025,06/26,53600
2025,06/27,53600
2025,06/30,53600
2025,07/01,53600
2025,07/02,53600
2025,07/03,53600
2025,07/04,53600
2025,07/07,53600
2025,07/08,53600
2025,07/09,53600
2025,07/10,53600
2025,07/11,53600
2025,07/14,53600
2025,07/15,53600
2025,07/16,53600
2025,07/17,53600
2025,07/18,53600
2025,07/21,53600
2025,07/22,53600
2025,07/23,53600
2025,07/24,53600
2025,07/25,53600
2025,07/28,53600
2025,07/29,53600
2025,07/30,53600
2025,07/31,53600
2025,08/01,53600
2025,08/04,53600
2025,08/05,53600
2025,08/06,54000
2025,08/07,54000
2025,08/08,54000
2025,08/11,54000
2025,08/12,54000
2025,08/13,54000
2025,08/14,54000
2025,08/18,54000
2025,08/19,54000
2025,08/20,54000
2025,08/21,54000
2025,08/22,54000
2025,08/25,54000
2025,08/26,54000
2025,08/27,54000
2025,08/28,54000
2025,08/29,54000
2025,09/01,54000
2025,09/02,54000
2025,09/03,54000
2025,09/04,54000
2025,09/05,54000
2025,09/08,54000
2025,09/09,54000
2025,09/10,54000
2025,09/11,54000
2025,09/12,54000
2025,09/15,54000
2025,09/16,57000
2025,09/17,57000
2025,09/18,56000
2025,09/19,56000
2025,09/22,56000
2025,09/23,56000
2025,09/24,56000
2025,09/25,56000
2025,09/26,60400
2025,09/29,60400
2025,09/30,60400
2025,10/01,60400
2025,10/02,60400
2025,10/10,60400
2025,10/13,60400
2025,10/14,59800
2025,10/15,59800
2025,10/16,59800
2025,10/17,59800
2025,10/20,59800
2025,10/21,59400
2025,10/22,59400
2025,10/23,59400
2025,10/24,59400
2025,10/27,59400
2025,10/28,59400
2025,10/29,59400
2025,10/30,59400
2025,10/31,59400
2025,11/03,59400
2025,11/04,59400
2025,11/05,59400
2025,11/06,59400
2025,11/07,59400
2025,11/10,59400
2025,11/11,59400
2025,11/12,59400
2025,11/13,59400
2025,11/14,59400
2025,11/17,59400
2025,11/18,59400
2025,11/19,59400
2025,11/20,59400
2025,11/21,59400
2025,11/24,59400
2025,11/25,59400
2025,11/26,59400
2025,11/27,59400
2025,11/28,59400
2025,12/01,59400
2025,12/02,59400
2025,12/03,59400
2025,12/04,59400
2025,12/08,59400
2025,12/09,59400
2025,12/10,59400
2025,12/11,59400
2025,12/12,59400
2025,12/15,59400
2025,12/16,59400
2025,12/17,59400
2025,12/18,59400
2025,12/19,59400
2025,12/22,59400
2025,12/23,59400
2025,12/24,59400
2025,12/26,59400
2025,12/29,59400
2025,12/30,59400
2025,12/31,59400
2024,05/02,47420
2024,05/07,47317
2024,05/08,47317
2024,05/09,47320
2024,05/12,47333
2024,05/13,47333
2024,05/14,47333
2024,05/15,47333
2024,05/16,47373
2024,05/19,47547
2024,05/20,47600
2024,05/21,47640
2024,05/22,47747
2024,05/23,47757
2024,05/26,47893
2024,05/27,47987
2024,05/28,48027
2024,05/29,48000
2024,05/30,48000
2024,06/02,48013
2024,06/04,48017
2024,06/05,48027
2024,06/09,48067
2024,06/10,48067
2024,06/11,48067
2024,06/12,48040
2024,06/13,48013
2024,06/16,47967
2024,06/17,47960
2024,06/18,47933
2024,06/19,47933
2024,06/20,47933
2024,06/23,47933
2024,06/24,47933
2024,06/25,47933
2024,06/26,47933
2024,06/27,47933
2024,06/30,47980
2024,07/01,47992
2024,07/02,47992
2024,07/03,48007
2024,07/04,48047
2024,07/07,48120
2024,07/08,48133
2024,07/09,48133
2024,07/10,48133
2024,07/11,48153
2024,07/14,48253
2024,07/15,48283
2024,07/16,48283
2024,07/17,48340
2024,07/18,48387
2024,07/21,48533
2024,07/22,48565
2024,07/23,48592
2024,07/24,48607
2024,07/25,48627
2024,07/28,48680
2024,07/29,48687
2024,07/30,48693
2024,07/31,48787
2024,08/01,48873
2024,08/04,49153
2024,08/05,49158
2024,08/06,49118
2024,08/07,49093
2024,08/08,49073
2024,08/11,51025
2024,08/12,51025
2024,08/13,51025
2024,08/14,51025
2024,08/18,51145
2024,08/19,51175
2024,08/20,51175
2024,08/21,51255
2024,08/22,51328
2024,08/25,51455
2024,08/26,51500
2024,08/27,51550
2024,08/28,51545
2024,08/29,51465
2024,09/01,51350
2024,09/02,51315
2024,09/03,51245
2024,09/04,51175
2024,09/05,51155
2024,09/08,50975
2024,09/09,50815
2024,09/10,50645
2024,09/11,50513
2024,09/12,50513
2024,09/15,50350
2024,09/16,50356
2024,09/17,50356
2024,09/18,50375
2024,09/19,50400
2024,09/22,50400
2024,09/23,50400
2024,09/24,50467
2024,09/25,50483
2024,09/26,50483
2024,09/29,50560
2024,09/30,50558
2024,10/01,50558
2024,10/02,51534
2024,10/10,50967
2024,10/13,50967
2024,10/14,51007
2024,10/15,51047
2024,10/16,50993
2024,10/17,52635
2024,10/20,51850
2024,10/21,51785
2024,10/22,51835
2024,10/23,51985
2024,10/24,51719
2024,10/27,50167
2024,10/28,49900
2024,10/29,50073
2024,10/30,50247
2024,10/31,50327
2024,11/03,50393
2024,11/04,50300
2024,11/05,50300
2024,11/06,50300
2024,11/07,50300
2024,11/10,50300
2024,11/11,50300
2024,11/12,50300
2024,11/13,50300
2024,11/14,50300
2024,11/17,50300
2024,11/18,50300
2024,11/19,50300
2024,11/20,50300
2024,11/21,50220
2024,11/24,49957
2024,11/25,49873
2024,11/26,49873
2024,11/27,49887
2024,11/28,49900
2024,12/01,49900
2024,12/02,49860
2024,12/03,49850
2024,12/04,49850
2024,12/08,49687
2024,12/09,49673
2024,12/10,49713
2024,12/11,49753
2024,12/12,49793
2024,12/15,49800
2024,12/16,49807
2024,12/17,49813
2024,12/18,49853
2024,12/19,49893
2024,12/22,49867
2024,12/23,49867
2024,12/24,49867
2024,12/26,49867
2024,12/29,49867
2024,12/30,49867
2024,12/31,49400
2025,01/02,49300
2025,01/03,49300
2025,01/06,49220
2025,01/07,49207
2025,01/08,49187
2025,01/09,49160
2025,01/10,49127
2025,01/13,49100
2025,01/14,49067
2025,01/15,49058
2025,01/16,49058
2025,01/17,49033
2025,01/20,48933
2025,01/21,48933
2025,01/22,48933
2025,01/23,48933
2025,01/24,48933
2025,01/31,48933
2025,02/03,49000
2025,02/04,49000
2025,02/05,49067
2025,02/06,49147
2025,02/07,49227
2025,02/10,49333
2025,02/11,49333
2025,02/12,49333
2025,02/13,49333
2025,02/14,49333
2025,02/17,49333
2025,02/18,49333
2025,02/19,49333
2025,02/20,49333
2025,02/21,49333
2025,02/24,49333
2025,02/25,49333
2025,02/26,49333
2025,02/27,49333
2025,02/28,49333
2025,03/04,49333
2025,03/05,49333
2025,03/06,49333
2025,03/07,49333
2025,03/10,49333
2025,03/11,49333
2025,03/12,49333
2025,03/13,49333
2025,03/14,49300
2025,03/17,49200
2025,03/18,49167
2025,03/19,49167
2025,03/20,49167
2025,03/21,49153
2025,03/24,49133
2025,03/25,49127
2025,03/26,49113
2025,03/27,49100
2025,03/28,49100
2025,03/31,49067
2025,04/01,49033
2025,04/02,49017
2025,04/03,49017
2025,04/04,49000
2025,04/07,48867
2025,04/08,48747
2025,04/09,48700
2025,04/10,48700
2025,04/11,48627
2025,04/14,48267
2025,04/15,48233
2025,04/16,48208
2025,04/17,48208
2025,04/18,48200
2025,04/21,48033
2025,04/22,47933
2025,04/23,47875
2025,04/24,47875
2025,04/25,47833
2025,04/28,47567
